Title_alternate|Contributor_1_name|Contributor_1_type|Contributor_1_role|Contributor_2_name|Contributor_2_type|Contributor_2_role|Contributor_3_name|Contributor_3_type|Contributor_3_role|Description|Subject|ETC_fileName|ETC_Note|Dimensions|Source|Coverage_periodName|ETC_AltId
BASKETBALL - Men|Harvey Studio|CorporateName|photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right): Gordon M. MacPhail,  Guy D. Scovil, W. Gordon Jones (Mgr.), G.F. Kincaide<P>$Front Row (left to right): William W. Donohue, J.N. McCaffrey, H. Chipman Seely (Capt.), Charles J. Clayton,  Paul W. Fraser<P>$Players are shown with basketball with "'24" and are dressed in uniform.  Identification includes name of player's position.|MacPhail,  Gordon M.$Scovil,  Guy D.$Jones,  W. Gordon$Kincaide,  G.F.$Donohue,  William W.$McCaffrey,  J.N.$Seely,  H. Chipman$Clayton,  Charles J.$Fraser,  Paul W.|417.tif|Conservation: Fading around edges of photo$Matted: 14" x 12"|b&w: 9.5" x 7.5"|PE 176|1924|417
BASKETBALL - Men|Joe Stone and Son|CorporateName|photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Andy Hayward (far right) <P>$Front Row (left to right):  Janice D. MacInnis (far left), Yaw Obeng (player no. 22), Phil Wright (Coach) <P>$Players posed on basketball court in full uniform.  Front row wearing red uniforms and back row wearing white uniforms.  Shown with two "UNB" basketballs.  Photo appears in 1989 UNB yearbook.|Haywar,  Andy$MacInnis,  Janice D.$Obeng,  Yaw$Wright,  Coach$Elliot,  Bryan$Jarratt,  Bill$Hazlett,  Mark|445.tif|Number of Copies:  2|colour: Both copies: 10" x 8"|Copy 1: PE 188-1; Copy 2: PE 188-2|1989|445
BASKETBALL - Women||NULL|illustrator||NULL|illustrator||NULL|illustrator|Two names handwritten on reverse (family and first names).  Research indicates that this photo is of the 1932, 1934, or 1935 team.|Incomplete|25.tif|Conservation:  Slightly faded$Glass:  yes$Framed:  9" x 7"|b&w:  6" x 4"|PE 25|n.d.|25
BASKETBALL - Women|Brown, Tanya|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Left to right:  Earl G., "Si" Oldham (Asst. Coach), Gladys Bell, Dorothy J., "Dot" Palmer, A.M.P., "Babe" Stephens, Ruth Hanson, Helen Neill (Mgr.), Pauline F., "Spike" Merrithew, Molly Burtt, Florence Nugent, Irma C., "Irm" Mawhinney, Douglas G. Gemeroy (Coach) <P>$Absent from photo:  Irene Harrison <P>$Three names handwritten on reverse (family names, two have first names) with "1931-32 or 1932-33."  Shown with basketball.  This photo was reproduced with complete identification in the 1933 UNB yearbook.|Oldham,  Earl G.,  "Si"$Bell,  Gladys$Palmer,  Dorothy J.,  "Dot"$Stephens,  A.M.P.,  "Babe"$Hanson,  Ruth$Neill,  Helen$Merrithew,  Pauline F.,  "Spike"$Burtt,  Molly$Nugent,  Florence$Mawhinney,  Irma C.,  "Irm"$Gemeroy,  Douglas G.|26.tif|Glass:  yes$Framed:  8.5" x 7"|b&w:  6" x 4"|PE 26|1932-1933|26
BASKETBALL - Women||NULL|illustrator||NULL|illustrator||NULL|illustrator|Two names handwritten on reverse (family and first names).  Research indicates that this photo is of the 1932, 1934, or 1935 team.|Incomplete|27.tif|Glass:  yes$Framed:  10" x 8"|b&w:  6" x 4"|PE 27|n.d.|27
BASKETBALL - Women|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Left to right:  A. Ethel Thurrott, Ella W. Thurrott, Gladys Gregory, Marguerite Adams, Helen M. Bliss, Isabel St. J. Bliss, Alma Gale <P>$Shown with basketball with "1915."  This is a very grainy print made from a photo from the January 1915 University Monthly.|Thurrott,  A. Ethel$Thurrott,  Ella W.$Gregory,  Gladys$Adams,  Marguerite$Bliss,  Helen M.$Bliss,  Isabel St. J.$Gale,  Alma|173.tif||b&w:  10" x 5.5"|UA PC-16 NO-6|1915|173
BASKETBALL - Women|Harvey Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back row (left to right):  Jean Peabody, Beatrice Jeffries, Florence Raymond <P>$Front row (left to right):  Marion Upham, Kathleen Woods (Capt.), Marjorie Hanson <P>$Shown with basketball with "'23."|Peabody,  Jean$Jeffried,  Beatrice$Raymond,  Florence$Upham,  Marion$Woods,  Kathleen$Hanson,  Marjorie|184.tif|Conservation:  several very slight abrasions on photo$Matted:  8" x 11.5"|b&w:  6" x 8"|UA PC-16 NO-104|1923|184
BASKETBALL - Women|Harvey Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Helen Thurrott, Louise Friel, Helen Scott, Kathleen Woods <P>$Front Row (left to right):  Harriet VanWart, Margaret Hall (Capt.), Marjorite Tracy <P>$Identification includes name of player's position.  Shown with basketball with "1920."|Thurrott,  Helen$Friel,  Louise$Scott,  Helen$Woods,  Helen$VanWart,  Harriet$Hall,  Margaret$Tracy,  Marjorite|185.tif|Conservation:  photo scratched, matte torn and stained$Matted:  10.5" x 9"|b&w:  8" x 6"|UA PC-16 NO-103|1920|185
BASKETBALL - Women|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Back row (left to right):  Molly Otty, Grace Aiton <P>$Middle row (left to right):  Mrs. Day (Chaperone), Lil Corbett <P>$Front row (left to right):  Ted Hatheway, Zula Hallet, Bea Smith <P>$Copy 1 identification includes player's class year.  Shown with basketball with "'11."|Otty,  Molly$Day,  Mrs.$Hatheway,  Ted$Hallet,  Zula$Aiton,  Grace$Corbett,  Lil$Smith,  Bea|189.tif|Number of Copies:  2$Conservation:  Copy 2: several slight abrasions|b&w:  Copy 1: 4" x 6"; Copy 2: 6.5" x 8.5"|Copy 1: UA PC-16 NO-93; Copy 2: UA RG 307 Box 28 File 16|1911|189
BASKETBALL - Women|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Left to right:  Meredith Spicer, Frances Graham, Doris MacLatchy, Virginia Bliss, Betty Robinson, Frances Beairstp, Mary Baxter, Eleanor Wylie, Marjorie Vail, Phillis Quinn, Audrey Mooers (Mgr.), Betty Monteith <P>$This photo appears with complete identification in the 1948 "Up the Hill" yearbook.  Shown with basketball.|Spicer,  Meredith$Graham,  Frances$MacLatchy,  Doris$Bliss,  Virginia$Robinson,  Betty$Beairsto,  Frances$Baxter,  Mary$Wylie,  Eleanor$Vail,  Marjorie$Quinn,  Phillis$Mooers,  Audrey$Monteith,  Betty|356.tif||b&w:  8" x 5"|Shelf A - Sports Yearbook 1948 Envelope|1948|356
BASKETBALL - Women|Harvey|CorporateName|Photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  M. Agnes Carruthers (Mgr.), Julia C. Buchanan, Louise M. Kinghorn <P>$Front Row (left to right): Jesse G. Vince, Jane M. Kinney (Capt.), Alberta E. Jamieson <P>$Shown with basketball with "'03."|Carruthers,  M. Agnes$Buchanan,  Julia C.$Kinghorn,  Louise M.$Vince,  Jesse G.$Kinney,  Jane M.$Jamieson,  Alberta E.|366.tif|Conservation:  two small tears in photo edges; matte stained.$Glass:  yes$Framed:  12.5" x 15.5"|b&w:  6.5" x 8"|Shelf B|1903|366
BASKETBALL - Women|Harvey Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Standing, back row (left to right):  Lillian L. Smith, Molly Otty, Miss Currie, E. Beatrice Smith<P>$Seated, middle row (left to right):  Zula Hallet, Ted Hatheway, Miss Stothart (Capt.), Lil Corbett<P>$Front Row:  Miss Estabrooks, Miss Fish<P>$Shown with basketball with "'09."|Smith,  Lillian L.$Otty,  Molly$Currie,  Miss$Smith,  E.B.$Hallet,  Zula$Hatheway,  Ted$Stothart,  Miss$Corbett,  Lil$Estabrooks,  Miss$Fish,  Miss|369.tif|Number of Copies:  2$Conservation:  Copy 1:  Photo and matte are faded, stained, scratched, and damaged at edges$Matted:  Copy 1:  15" x 12"|b&w:  Copy 1: 9.5" x 7.5"; Copy 2: 12" x 10"|Copy 1:  UA PC-16 NO-95 oversize; Copy 2:  PE 200|1909|369
BASKETBALL - Women||NULL|illustrator||NULL|illustrator||NULL|illustrator|Left to right: Ted Hatheway, Molly Otty, Zula Hallet, Lil Corbett, Bea Smith<P>$Shown with basketball with "UNB '11."|Hatheway,  Ted$Otty,  Molly$Hallet,  Zula$Corbett,  Lil$Smith,  Bea|406.tif|Number of Copies: 2$Conservation:  Copy 1: Slightly scratched|b&w:  Copy 1: 9" x 5"; Copy 2: 10" x 8"|Copy 1: UA RG 307 Box 28 File 16; Copy 2: PE 198|1911|406
BASKETBALL - Women|Joe Stone and Son|CorporateName|photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Unknown, Unknown, Tammy Polchies, Kara Palmer, Unknown, Claire Mitton (Coach), Tracy Ross, Tracy Lordon, Unknown, Unknown <P>$Front Row (left to right):  Jill Jackson, Shannon Hickey, Unknown, Jennifer Hale <P>$$Players posed on basketball court in full uniform.  Shown with two "UNB" basketballs, trophy and banner which reads "AUAA/ASIA Basketball Women Champions 1989-90."|Polchies,  Tammy$Palmer,  Kara$Mitton,  Claire$Ross,  Tracy$Lordon,  Tracy$Jackson,  Jill$Hickey,  Shannon$Hale,  Jennifer|447.tif|Number of Copies:  2$Matted: Copy 2:  12" x 10"|colour:  Both copies: 10" x 8"|Copy 1:  PE 190-1; Copy 2:  PE 190-2|1989-1990|447
BASKETBALL - Women|Joe Stone and Son|CorporateName|photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back row (left to right):  Unknown, Jill Jackson, Kara Palmer, Tracy Ross, Unknown, Unknown, Tammy Polchies, Unknown, Unknown <P>$$Front row (left to right):  Unknown, Unknown, Claire Mitton (Coach), Shannon Hickey, Unknown, Jennifer Hale, Unknown <P>$$Players posed on basketball court in full uniform with "UNB" basketball.|Jackson,  Jill$Palmer,  Kara$Ross,  Tracy$Polchies,  Tammy$Mitton,  Claire$Hickey,  Shannon$Hale,  Jennifer|448.tif|Matted:  12" x 10"|colour:  10" x 8"|PE 191|[1989]|448
BASKETBALL - Women|Joe Stone and Son|CorporateName|photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right): Unknown, Unknown, Unknown, Kara Palmer, Unknown, Claire Mitton (Coach), Laura Swift, Unknown, Unknown <P>$Front Row (left to right):  Bonnie Hale, Jill Jackson, Jennifer Hale, Shannon Hickey, Unknown, Tammy Polchies <P>$Players posed on basketball court in full uniform with two  "UNB" basketballs.  Shown with trophy and banner which reads "AUAA/ASIA Basketball Women Champions 1991-1992."|Palmer,  Kara$Mitton,  Claire$Swift,  Laura$Hale,  Bonnie$Jackson,  Jill$Hale,  Jennifer$Hickey,  Shannon$Polchies,  Tammy|451.tif|Number of Copies:  2|colour:  Both copies:  10" x 8"|Copy 1:  PE 194-1; Copy 2:  PE 194-2|1991-1992|451
BASKETBALL - Women|Joe Stone and Son|CorporateName|photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Daryl McNeil, Bonnie Hale, Maria Kilfoil, Richard Merritt, Laura Swift, Tracy Lordon, Jill Jackson, Mark McDougall <P>$Front Row (left to right):  Shannon Hickey, Kara Palmer, Claire Mitton (Coach), Jennifer Hale, Tammy Polchies <P>$Players posed on basketball court in full uniform with two "UNB" basketballs.  Shown with trophy.|McNeil,  Daryl$Hale,  Bonnie$Kilfoil,  Maria$Merritt,  Richard$Swift,  Laura$Lordon,  Tracy$Jackson,  Jill$McDougall,  Mark$Hickey,  Shannon$Palmer,  Kara$Mitton,  Claire$Hale,  Jennifer$Polchies,  Tammy|454.tif|Matted:  12" x 10"|colour:  10" x 8"|PE 197|[1990-1991]|454
BOWLING - Men||NULL|illustrator||NULL|illustrator||NULL|illustrator|Back Row (left to right):  Russell E. Bishop, Paul G. Robinson, Cedric W. MacDiarmid, George McClintock, Joseph S. Kaplan<P>$Middle Row (left to right):  Frank J. Horgan, Fred Cumming, Alton E. Corey, Frank C. Dohaney<P> $First Row (left to right):  J.K. Conrad Mulherin, Richard F. Mallory, Doug E. Ryan<P>$This photo appears with partial identification in the 1944 "Up the Hill" yearbook.$|Bishop,  Russell E.$Robinson,  Paul G.$MacDiarmid,  Cedric W.$McClintock,  George$Kaplan,  Joseph S.$Horgan,  Frank J.$Cumming,  Fred$Corey,  Alton E.$Dohaney,  Frank C.$Mulherin,  J.K. Conrad$Mallory,  Richard F.$Ryan,  Doug E.|107.tif|Glass:  yes$Framed:  10.5" x 8.5"|b&w:  10" x 8"|PE 107|1944|107
BOXING - Men||NULL|illustrator||NULL|illustrator||NULL|illustrator|Left to right: Amby Legere (Coach), Bill Mahood, W.W. Laskey (Hon. Coach)<P>$Handwritten on reverse of torn corner: "Les Snook."  Individual boxer and two coaches posed in boxing ring.|Legere,  Amby$Laskey,  W.W.$Mahood,  Bill|1.tif|Conservation:  Upper right corner torn.  Photo curled and discoloured|b&w:  5" x 4"|PE 01|[1950-1951]|1
BOXING - Men|Brown, Tanya|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Back Row (left to right):  Amby Legere (Coach), W.W. Laskey (Hon. Coach)<P>$Front Row (left to right):  Ian Duncan Thomas, Allen Hoben Neill, Stanley Hamilton Jobb, D. Gorham, Keith I. Fletcher (Capt.), David F. Ritchie, Alan McDougall Hale, John Wallace Alward, D. Cox (Manager)<P>$Several trophies shown.  Handwritten on reverse of copy PE 05-5: "46 or 47."  "Maritime Intercollegiate Boxing Champions 1949" on front of copy PE 05-6.  This photo appears with complete identification in the 1949 "Up the Hill" yearbook.|Legere,  Amby$Laskey,  W.W.$Thomas,  Ian Duncan$Neill,  Allen Hoben$Jobb,  Stanley Hamilton$Gorham,  D.$Fletcher,  Keith I.$Ritchie,  David F.$Hale,  Alan McDougall$Alward,  John Wallace$Cox,  D.|5.tif|Number of Copies:  6$Conservation:  three copies have droplet stains|b&w:  10" x 8"|PE 05-1 through PE 05-6|1949|5
BOXING - Men|Brown, Tanya|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Handwritten on reverse:  "Bill Mahood."  Photo of individual boxer.$|Mahood,  Bill|6.tif|Conservation:  slight droplet stains|b&w:  8" x 10"|PE 06|[1950-1951]|6
BOXING - Men|Brown, Tanya|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Handwritten on reverse:  "Bill Mahood."  Composed to show individual boxer and two shadows of him on wall in background.$|Mahood,  Bill|9.tif|Conservation:  lower right corner torn|b&w:  8" x 8"|PE 09|[1950-1951]|9
BOXING - Men||NULL|illustrator||NULL|illustrator||NULL|illustrator|Back Row (left to right):  Amby Legere (Coach), Stan Jobb (Mgr.), W.W. Laskey (Honourary Coach) <P>$Front Row (left to right):  Bill Mahood, Boyd Hudson, Alan Hale, Jim Reid, Dick Gorham, Ian Thomas, John Currie, Dick Ross <P>$"Maritime Intercollegiate Boxing Champs 1950".  This photo appears with complete identification in the 1950 "Up the Hill" yearbook.|Legere,  Amby$Jobb,  Stan$Laskey,  W.W.$Mahood,  Bill$Hudson,  Boyd$Hale,  Alan$Reid,  Jim$Gorham,  Dick$Thomas,  Ian$Currie,  John$Ross,  Dick|35.tif|Matted:  12" x 10"|b&w:  10" x 7.5"|PE 35|1950|35
BOXING - Men|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Back Row (left to right):  T. Terrence Dalton (Mgr.), J. Donald Duerr, Raymond J. Finnegan, James J.E. Dosne, W.W. Laskey (Coach), Robert H.B. McLaughlin, Herman J., Jr. Merzetti, Murray Zides, Malcolm, Jr. Mackay <P>$Front Row (left to right):  James L. Belyea, Charlie A. Bunker, C. Don McKinney, Manzer L. Bunker (Capt.) <P>$This photo appears with partial identification in the 1942 "Up the Hill" yearbook.|Dalton,  T. Terrence$Duerr,  J. Donald $Finnegan,  Raymond J.$Dosne,  James J.E. $Laskey,  W.W.$McLaughlin,  Robert H.B.$Merzetti,  Herman J.,  Jr.$Zides,  Murray$MacKay,  Malcolm,  Jr.$Belyea,  James L.$Bunker,  Charlie A.$McKinney,  C. Don$Bunker,  Manzer L.|45.tif|Conservation:  droplet stains on photo and matte$Matted:  14" x 12"|b&w:  9.5" x 7.5"|PE 45|1941-1942|45
BOXING - Men|Harvey Studio|CorporateName|Photographer|Brown, Tanya|PersonalName|illustrator||NULL|scanner|Back Row (left to right):  Robert S. MacLeod (Mgr.), Alexander Baptist, Murray Zides, J. Terrence Dalton (Asst. Mgr.) <P>$Front Row (left to right):  Robert H.B. McLaughlin, Stuart M. Conacher, W.W. Laskey (Coach), Dallas Laskey, Manzer L. Bunker <P>$Identification includes boxer's weight division.  This photo appears with partial identification in the 1941 "Up the Hill" yearbook.|MacLeod,  Robert S.$Baptist,  Alexander$Zides,  Murray$Dalton,  J. Terrence$McLaughlin,  Robert H.B.$Conacher,  Stuart M.$Laskey,  W.W.$Laskey,  Dallas$Bunker,  Manzer L.|50.tif|Glass:  yes$Framed:  13.5" x 11.5"|b&w:  9.5" x 7.5"|PE 50|1941|50
BOXING - Men||NULL|illustrator||NULL|illustrator||NULL|illustrator|Back Row (left to right):  W.W. Laskey (Coach), David C. MacDonald (Mgr.), Leonard I. Morgan, John B. Bewick, Regner B. Andersen, Douglas A. McKee, R. Reid Scott, Maynard B. Golt <P>$Front Row (left to right):  F.T. Scott, W. George Edmonds, G.A. Percy Smith, Charlie A. Bunker (Capt.), Edward Napke, W. Ernest Hale <P>$Boxing gloves in foreground.  This photo appears with partial identification in the 1945 "Up the Hill" yearbook.|Laskey,  W.W.$MacDonald,  David C.$Morgan,  Leonard I.$Bewick,  John B.$Andersen,  Regner B.$McKee,  Douglas A.$Scott,  R. Reid$Golt,  Maynard B.$Scott,  F.T.$Edmonds,  Edward $Smith,  G.A. Percy$Bunker,  Charlie A.$Napke,  Edward$Hale,  W. Ernest|91.tif|Conservation:  slight stains$Glass:  yes$Framed:  7" x 5"|b&w:  6.5" x 4.5"|PE 91|1945|91
BOXING - Men|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Back Row (left to right):  Malcolm Mackay, John K. Young, Raymond J. Finnegan, Frank C. Dohaney, W.W. Laskey (Coach) <P> $Front Row (left to right):  Robert H.B. McLaughlin, James L. Belyea, Charles A. Bunker, Patrick T. Clair <P>$Boxing gloves in foreground.  This photo appears with partial identification in the 1943 "Up the Hill" yearbook.|Mackay,  Malcolm,  Jr.$Young,  John K.$Finnegan,  Raymond J.$Dohaney,  Frank C.$Laskey,  W.W.$McLaughlin,  Robert H.B.$Belyea,  James L.$Bunker,  Charles A.$Clair,  Patrick T.|93.tif|Conservation:  fingerprint stains on left edge$Glass:  yes$Framed:  10.5" x 8.5"|b&w:  10" x 8"|PE 93|1943|93
BOXING - Men|Harvey Studio|CorporateName|Photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Joe Thibodeau, W.W. Laskey (Coach), Clifford E. Hoyt (Mgr.) <P>$Front Row (left to right):  Robert MacLeod (Asst. Mgr.), Dallas Laskey, Manzer L. Bunker (Capt.), Robert McLaughlin, Ralph Sweet <P>$Identification includes boxer's weight division.  This photo appears with complete identification in the 1940 "Up the Hill" yearbook.|Thibodeau,  Joe$Laskey,  W.W.$Hoyt,  Clifford E.$MacLeod,  Robert$Laskey,  Dallas$Bunker,  Manzer L.$McLaughlin,  Robert$Sweet,  Ralph|102.tif|Glass:  yes$Framed:  13.5" x 11.5"|b&w:  9.5" x 7.5"|PE 102|1940|102
BOXING - Men|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Back Row (left to right):  Amby Legere (Coach) and Bill Laskey (Honorary Coach) <P>$Front Row (left to right):  Don Cox (Mgr.), Hal Skovmond, Dick Gorham, Doug Timms, Keith Fletcher, Stan Jobb, Clint Hayward, Boyd Hudson <P>$This photo appears with complete identification in the 1948 "Up the Hill" yearbook.  Shown with several trophies.|Legere,  Amby$Laskey,  Bill$Cox,  Don$Skovmond,  Hal$Gorham,  Dick$Timms,  Doug$Fletcher,  Keith$Jobb,  Stan$Hayward,  Clint$Hudson,  Boyd|349.tif||b&w:  7" x 4"|Shelf A - Sports Yearbook 1948 Envelope|1948|349
CHEERLEADING - Coed||NULL|illustrator||NULL|||NULL||Left to right: Pat Crozier ('58), Janet Hunter ('59), Joan Young ('59), Connie Trecarten ('58), Margaret Colpitts ('59), Arlene "Skip" Stewart, Elizabeth "Biddy" Wilson ('60), Unidentified, Mary Linn Rose ('57), George Forrester ('58)|Crozier,  Pat$Hunter,  Janet$Young,  Joan$Trecarten,  Connie$Colpitts,  Margaret$Stewart,  Arlene "Skip"$Wilson,  Elizabeth "Biddy"$Rose,  Mary Linn$Forrester,  George|475.tif||b&w: 10" x 8"|Uncatalogued|1956-1957|475
CHEERLEADING - Women|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Left to right: Janet Hunter ('59), Joan Young ('59), Connie Trecarten ('58), Margaret Colpitts ('59), Arlene "Skip" Stewart, Elizabeth "Biddy" Wilson ('60), Unidentified, Mary Linn Rose ('57) <P>$$Cheerleaders are shown in uniform sitting on the bottom bench in the bleachers with the UNB Band, led by Arthur Trythall, behind them.|Hunter,  Janet$Young,  Joan$Trecarten,  Connie$Colpitts,  Margaret$Stewart,  Arlene "Skip"$Wilson,  Elizabeth "Biddy"$Rose,  Mary Linn|427.tif|Conservation: photo peeled and creased in lower left corner|b&w: 10" x 7.25"|UA RG 307 Box 20 File 1|1956-1957|427
CHEERLEADING - Women||NULL|illustrator||NULL|||NULL||Left to right: Pat Crozier ('58), Janet Hunter ('59), Joan Young ('59), Connie Trecarten ('58), Margaret Colpitts ('59), Arlene "Skip" Stewart, Elizabeth "Biddy" Wilson ('60), Unidentified, Mary Linn Rose ('57), Jim Bruce (Coach) <P>$$Cheerleaders are shown in uniform sitting on the bottom bench in the bleachers with the UNB Band, led by Arthur$Trythall, behind them.|Crozier,  Pat$Hunter,  Janet$Young,  Joan$Trecarten,  Connie$Colpitts,  Margaret$Stewart,  Arlene "Skip"$Wilson,  Elizabeth "Biddy"$Rose,  Mary Linn$Bruce,  Jim|474.tif||b&w:  10" x 8"|Uncatalogued|1956-1957|474
FIELD HOCKEY - Women||NULL|illustrator||NULL|illustrator||NULL|illustrator|Shown with field hockey sticks and goalie pads.<P>$Pose: Formal|None||Glass:  Yes$Framed:  9" x 12"$|b&w:  8" x 10"|PE 36|1982|36
FIELD HOCKEY - Women|Joe Stone and Son|CorporateName|photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back row (left to right): Sheila Bell (Goalkeeper), Jill Jackson, Sandra MacLeod, Nancy Peppler, Joyce Slipp (Coach), Peter Tracey (Trainer), Tanya Whalen, Kelly McCormack, Josette Babineau, Patty Slater (Mgr.)<P>$Front row (left to right): Joan Robere, Wendi Gallant, Kara Keays (Capt.), Angela Gallant, Tracey Clements, Angela Cormier, Kim O'Hara<P>$Players posed indoors in full uniform, including spiked shoes. Appears in 1990 UNB yearbook.|Robere,  Joan$Gallant,  Wendi$Keays,  Kara$Gallant,  Angela$Clements,  Tracey$Cormier,  Angela$O'Hara,  Kim$Bell,  Sheila$Jackson,  Jill$MacLeod,  Sandra$Peppler,  Nancy$Slipp,  Joyce$Tracey,  Peter$Whalen,  Tanya$McCormack,  Kelly$Babineau,  Josette$Slater,  Patty|446.tif|Number of Copies: 2|colour: Both copies: 10" x 8"|Copy 1: PE 189-1; Copy 2: PE 189-2|1990|446
FIELD HOCKEY - Women|Joe Stone and Son|CorporateName|photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Fran Boyle, Christy Snodgrass, Kim O'Hara, Patti Ramsey (Asst. Coach), Joyce Slipp (Coach), Peter Tracey (Trainer), Angela Gallant, Kirsten Williams, Patti Slater, Jill Jackson<P>$Front Row (left to right):  Brenda Guitard, Sandra MacLeod, Kathy Evans, Michelle Ives (Co-Capt.), Jennifer Reicker (Goalkeeper), Carla Reeves (Co-Capt.), Kara Keays, Nancy Peppler, Joan Robere<P>$Players posed on field in full uniform.  Appears in 1989 UNB yearbook.|Boyle,  Fran$Snodgrass,  Christy$O'Hara,  Kim$Ramsey,  Patti$Slipp,  Joyce$Tracey,  Peter$Gallant,  Angela$Williams,  Kirsten$Slater,  Patti$Jackson,  Jill$Guitard,  Brenda$MacLeod,  Sandra$Evans,  Kathy$Ives,  Michelle$Reicker,  Jennifer$Reeves,  Carla$Keays,  Kara$Peppler,  Nancy$Robere,  Jane|449.tif|Matted:  12" x 10"|colour:  10" x 8"|PE 192|1988-1989|449
FIELD HOCKEY - Women|Joe Stone and Son|CorporateName|photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Pam Gallant (Mgr./Trainer), Joan Robere, Nancy Peppler, Patti Slater, Tracey Clements, Joyce Slipp (Coach), Angela Gallant, Kara Keays, Deb Fullerton, Jay Mersereau (Trainer)<P>$Front Row (left to right):  Michelle Ives, Cathy Whalen, Carol Ann Jones, Carla Reeves, Patti Ramsey, Sheila Bell, Judy White, Brenda Guitard<P>$Players posed indoors in warm-up uniforms with goalie pads and sticks.  Appears in 1988 UNB yearbook.  |Gallant,  Pam$Robere,  Joan$Peppler,  Nancy$Slater,  Patti$Clements,  Tracey$Slipp,  Joyce$Gallant,  Angela$Keays,  Kara$Fullerton,  Deb$Mersereau,  Jay$Ives,  Michelle$Whalen,  Cathy$Jones,  Carol Ann$Reeves,  Carla$Ramsey,  Patti$Bell,  Sheila$White,  Judy$Guitard,  Brenda|450.tif|Number of Copies:  2|colour:  Both copies:  10" x 8"|Copy 1:  PE 193-1; Copy 2:  PE 193-2|1987-1988|450
FIELD HOCKEY - Women|Joe Stone and Son|CorporateName|photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Players posed in gym in full uniform including goalie pads, sticks, and ball.|Hornibrook,  Donna$Robere,  Joan$Babineau,  Josette$McCormack,  Kelly$Whalen,  Tanya$Peppler,  Nancy|452.tif|Number of Copies:  2|colour:  Both copies:  10" x 8"|Copy 1:  PE 195-1, Copy 2:  PE 195-2|[1991-1992]|452
FIELD HOCKEY - Women|Joe Stone and Son|CorporateName|photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Players posed in gym in full uniform including goalie pads and sticks.|Slater,  Patty$Gallant,  Wendy$Whalen,  Tanya$Hornibrook,  Donna$McCormack,  Kelly$O'Hara,  Kim$Babineau,  Josette$Peppler,  Nancy$Cormier,  Angela$Robere,  Joan|453.tif|Number of Copies:  2$Matted:  Copy 2:  12" x 10"|colour:  Both copies:  10" x 8"|Copy 1:  PE 196-1; Copy 2:  PE 196-2|[1990-1991]|453
FOOTBALL - Men|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Back Row (left to right):  W. Blake O'Brien (Mgr.), "Shorty" Clark, T. Edward R. Mitton, John C.F. Wicks, L. Beverley B. Boulton, Howie R. Ryan (Coach) <P> $Front Row (left to right):  Raymond J. Finnegan, Edward T. Wallace, Edwin C. Reid, Eric A. Bell, W.L. Paul Fleming <P>$Football shown.  Prior to 1949 the term "football" at UNB referred to English style rugby.  Post 1949, the term "football" designated North American style football.|O'Brien,  W. Blake$Clark,  "Shorty"$Mitton,  T. Edward R.$Wicks,  John C.F.$Boulton,  L. Beverley B.$Ryan,  Howie R. $Finnegan,  Raymond J.$Wallace,  Edward T.$Reid,  Edwin C.$Bell,  Eric A.$Fleming,  W.L. Paul|7.tif|Conservation:  photo stained, labels on photo are torn|b&w:  10" x 8"|PE 07|1943|7
