Title_alternate|Contributor_1_name|Contributor_1_type|Contributor_1_role|Contributor_2_name|Contributor_2_type|Contributor_2_role|Contributor_3_name|Contributor_3_type|Contributor_3_role|Description|Subject|ETC_fileName|ETC_Note|Dimensions|Source|Coverage_periodName|ETC_AltId
BASKETBALL - Men|Harvey Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back row (left to right):  W. Gordon Jones (Spare), William Austin Squires (Spare), Beverley F. MacAulay (Spare), G.F. Kincaide (Spare) <P>$Front row (left to right):  Gordon M. McPhail (Defense), William W. Donohoe (Centre), H. Chipman Seely (Forward), Paul W. Fraser (Forward), Guy D. Scovil (Defense) <P>$"Maritime Intercollegiate Champions, 1925."  Basketball with "'25" is shown.  Identification includes name of player's position.|Jones,  W. Gordon$Squires,  William Austin$MacAulay,  Beverley F.$Kincaide,  G.F.$McPhail,  Gordon M.$Donohoe,  William W.$Seely,  H. Chipman$Fraser,  Paul W.$Scovil,  Guy D.|16.tif|Glass:  yes$Framed:  14.5" x 13"|b&w:  10" x 8"|PE 16|1925|16
BASKETBALL - Men|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Back Row (left to right):  Harry A. MacEachern (Asst. Mgr.), John B.M. Baxter, T. Edward R. Mitton, Howie Ryan (Coach), Edward T. Owens, C. David Stothart, Robert R. Smith, L. William Thompson (Mgr.) <P>$Front Row (left to right):  Loring J. Breneol, George C. McClintock, J. Doug Rogers (Coach), J. Gerald Lockhart, Harold G. Sears, Cecil J. Garland <P>$"Maritime Intermediate Champions."  Basketball with "'43" is shown.  This photo appears with partial identification in the 1943 "Up the Hill" yearbook.|MacEachern,  Harry A.$Baxter,  John B.M.$Mitton,  T. Edward R.$Ryan,  Howie$Owens,  Edward T.$Stothart,  C. David$Smith,  Robert R.$Thompson,  L. William$Breneol,  Loring J.$McClintock,  George C.$Rogers,  J. Doug$Lockhart,  J. Gerald$Sears,  Harold G.$Garland,  Cecil J.|37.tif|Conservation:  photo slightly warped$Glass:  yes$Framed:  10.5" x 8.5"|b&w:  10" x 8"|PE 37|1943|37
BASKETBALL - Men|Harvey Studio|CorporateName|Photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Edward C. Akerley, Kenneth P. MacKenzie, Kenneth C. Cairns <P>$Middle Row (left to right):  Ronald A. Dummer, Kenneth McL. Willet (Capt.), H. Harrison Trimble (Mgr.) <P>$Front Row (left to right):  Johnson B. Sargent and Lawrence E. Gilmore <P>$Identification includes name of player's position.  Shown with basketball.|Akerley,  Edward C.$MacKenzie,  Kenneth P.$Cairns,  Kenneth C.$Dummer,  Ronald A.$Willet,  Kenneth McL.$Trimble,  H. Harrison$Sargent,  Johnson B.$Gilmore,  Lawrence E.|42.tif|Conservation:  matte slightly stained$Glass:  yes$Framed:  15" x 13"|b&w:  9.5" x 7.5"|PE 42|1921|42
BASKETBALL - Men|Harvey Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  J.M. Gibson (Left Defence), A. Clarence Edgecombe (Manager), Gustav F. Kuhring (Centre), Kenneth C. Cairns (Spare Defence) <P>$Front Row (left to right):  Kenneth McL. Willet (Right Forward), Samuel T. McCavour (Spare Forward), Horrace P. Webb (Capt., Left Forward), Kenneth B. Seely (Right Defence) <P>$Identification includes name of player's position.  Basketball with "1919" is shown.|Gibson,  J.M.$Edgecombe,  A. Clarence$Kuhring,  Gustav F.$Cairns,  Kenneth C.$Willett,  Kenneth McL.$McCavour,  Samuel T.$Webb,  Horrace P.$Seely,  Kenneth B.|43.tif|Conservation:  photo and matte slightly stained$Framed:  15" x 13"|b&w:  9.5" x 7.5"|PE 43|1919|43
BASKETBALL - Men|Harvey Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back row (left to right): W. Gordon Jones (Centre), Edward C. Akerley (Defence, Mgr.), G.W. McPhail (Defence) <P>$Middle row (left to right): Lawrence E. Gilmore (Forward), Ronald A. Dummer (Centre, Capt.), H. Chipman Seeley (Forward) <P>$Front row (left to right): Otto V.B. Miller (Defence), Charles J. Clayton (Forward) <P>$Identification includes name of player's position.  Basketball with "'23" is shown.|Jones,  W. Gordon$Akerley,  Edward C.$McPhail,  G.W.$Gilmore,  Lawrence E.$Dummer,  Ronald A.$Seeley,  H. Chipman$Miller,  Otto V. B.$Clayton,  Charles J.|44.tif|Conservation:  several small abrasions on photo.  Matte slightly stained and has one puncture$Matted:  14" x 12"|b&w:  9.5" x 7.5"|PE 44|1923|44
BASKETBALL - Men|Harvey Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Harry S. Laughlin, George P. Melrose, George B. Alexander$Middle Row (left to right):  Reginald D. Jago, Otis E. Bender, Frank J. MacGibbon <P>$Front row: Clarence B. Burden <P>$Basketball with "'14" is shown.|Laughlin,  Harry S.$Melrose,  George P.$Alexander,  George B.$Jago,  Reginald D.$Bender,  Otis E.$MacGibbon,  Frank J.$Burdern,  Clarence B.|46.tif|Conservation:  photo faded around edges$Matted:  11" x 14"|b&w:  7.5" x 9.5"|PE 46|1914|46
BASKETBALL - Men|Harvey Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back Row (left to right): Samuel T. McCavour (Forward), H.T. Wheeler (Center), Kenneth B. Seely (Left Guard), J.W. Eagles (Right Guard) <P>$Front Row (left to right): John F. MacIntosh (Mgr., Guard), Randolph H. Bennett (Capt., Right Forward), Horace P. Webb (Left Forward) <P>$Identification includes name of player's position.  Basketball with "1918" is shown.|McCavour,  Samuel T.$Wheeler,  H.T.$Seely,  Kenneth B.$Eagles,  J.W.$MacIntosh,  John F.$Bennett,  Randolph H.$Webb,  Horace P.|47.tif|Conservation:  matte slightly stained$Glass:  yes$Framed:  15" x 13"|b&w:  9.5" x 7.5"|PE 47|1918|47
BASKETBALL - Men|Harvey Studio|CorporateName|Photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  George B. Alexander and Harry S. Laughlin <P>$Middle Row (left to right):  George P. Melrose, Charles H. Colwell (Capt.), Harold B. Murray <P>$Front Row (left to right):  Reginald D. Jago and Otis E. Bender <P>$Identification includes name of player's position.  Basketball with "'12" is shown.|Alexander,  George B.$Laughlin,  Harry S.$Melrose,  George P.$Colwell,  Charles H.$Murray,  Harold B.$Jago,  Reginald D.$Bender,  Otis E.|48.tif|Conservation:  photo faded around edges$Matted:  12" x 14"|b&w:  7.5" x 9.5"|PE 48|1912|48
BASKETBALL - Men|Harvey Studio|NULL|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  J.D. Dolan, G. Percy Rigby (Capt.), Hayward C. Kinghorn <P>$Front Row (left to right):  Frank J. MacGibbon and Locksley McKnight <P>$Identification includes name of player's position.  Basketball with "'11" is shown.|Dolan,  J.D.$Rigby,  G. Percy$Kinghorn,  Hayward C.$MacGibbon,  Frank J.$McKnight,  Locksley|49.tif|Matted:  12" x 14"|b&w:  7.5" x 9.5"|PE 49|1911|49
BASKETBALL - Men||NULL|illustrator||NULL|illustrator||NULL|illustrator|Basketball is shown.<P>$Pose:  Formal|None||Glass:  yes$Framed:  12.5" x 15.5"$|b&w:  7.5" x 9.5"|PE 51|n.d.|51
BASKETBALL - Men|Harvey Studio|CorporateName|Photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Ronald A. Dummer, Kenneth B. Seely, Ernest G. Saunders (Mgr.), A.H. McAndrews, Samuel T. McCavour <P>$Front Row (left to right):  Kenneth McL. Willet, G.F. Gregory Bridges (Capt.), Clarence B. Burden <P>$Identification includes name of player's position.  "Champions Maritime Provinces."  Scores of six games are shown.|Dummer,  Ronald A.$Seely,  Kenneth B.$Saunders,  Ernest G.$McAndrews,  A.H.$McCavour,  Samuel T.$Willet,  Kenneth McL.$Bridges,  G.F. Gregory$Burden,  Clarence B.|52.tif|Conservation:  matte slightly stained$Glass:  yes$Framed:  15" x 13"|b&w:  9.5" x 7.5"|PE 52|1920|52
BASKETBALL - Men|Harvey Studio|CorporateName|Photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Reginald D. Jago (left forward), Harry S. Laughlin (left guart) <P>$Middle Row (left to right):  Harold B. Murray (Mgr., centre), Otis E. Bender (Capt., right guard), George P. Melrose (right foward) <P>$Front Row:  R.B. Murray (forward) <P>$Identification includes name of player's position.  "Champions of New Brunswick, 1913."  Basketball with "'13" is shown.|Jago,  Reginald D.$Laughlin,  Harry S.$Murray,  Harold B.$Bender,  Otis E.$Melrose,  George P.$Murray,  R.B.|53.tif|Conservation:  photo faded; matte slightly stained$Glass:  yes$Framed:  12.5" x 15.5"|b&w:  7.5" x 9.5"|PE 53|1913|53
