image_id|source_file|source_number|type|format|contributor|buildings_current|buildings_former|date|photographer|width|height|resolution|physical_size|cd_location|tiff_location|notes|no_students|no_profs|related_image|display_dpi
49|class1922|36|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1922-01-01|Harvey Studio|9995|8170|300|29.5x23.6||||26|1||72
50|class1923_debating|0|Club|tiff|Mike Meade, Alex Rogers|||1923-01-01|Harvey Studio|10119|8296|||||University of New Brunswick Ladies Debating Team|3|0||72
51|class1923|37|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1923-01-01|Harvey Studio|9325|7489|300|27.5x21.4||||38|1||72
52|class1924|38|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1924-01-01|Harvey Studios|12515|8669|300|38.7x25.1||||51|1||72
53|class1924_debating|0|Club|tiff|Mike Meade, Alex Rogers|||1924-01-01|Harvey Studio|9417|8166|||||University of New Brunswick Ladies Debating Team|3|0||72
54|class1924_ec|0|Encoenia|tiff|Mike Meade, Alex Rogers|||1924-01-01|Harvey Studios|14178|8212||||||0|11||72
55|class1924_sc|39|Student Council|tiff|Mike Meade, Alex Rogers|||1924-01-01|Harvey Studios|7941|6154|300|23.1x17.4||||0|0||72
56|class1925_debating|0|Club|tiff|Mike Meade, Alex Rogers|||1925-01-01|Harvey Studios|9462|8184|||||UNB Debating Team winners against Dalhousie|3|0||72
57|class1925_sc|0|Student Council|tiff|Mike Meade, Alex Rogers|||1925-01-01|The Harvey Studios|8656|7440||||||15|0||72
58|class1925|40|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1925-01-01|Harvey Studio|9813|7818|300|32.7x26.1||||20|1||72
59|class1926_debating|0|Club|tiff|Mike Meade, Alex Rogers|||1926-01-01|Harvey Studio|8577|7441|||||UNB Intercollegiate Debating Teeam|3|0||72
60|class1926_sp|0|Student Paper|tiff|Mike Meade, Alex Rogers|||1926-01-01||8691|7451|||||1926 Brunswickan Staff|13|0||72
